size,dataset,step,parallel_safety_fraction,mean_agreement_j1_to_k,n_positions
70m,wikitext,143000,0.0357142873108387,0.20105819404125214,252
70m,mbpp,143000,0.30158731341362,0.47354498505592346,252
70m,gsm8k,143000,0.0992063507437706,0.29100528359413147,252
160m,wikitext,143000,0.0595238097012043,0.23677249252796173,252
160m,mbpp,143000,0.3769841194152832,0.5343915224075317,252
160m,gsm8k,143000,0.1349206417798996,0.34656083583831787,252
410m,wikitext,143000,0.115079365670681,0.26719576120376587,252
410m,mbpp,143000,0.4523809552192688,0.5992063283920288,252
410m,gsm8k,143000,0.1944444477558136,0.3849206268787384,252
