model,features,feature_name,coef,bias,train_auroc,test_auroc,n_positive,n_total
one_minus_top1,one_minus_top1,one_minus_top1,10.393961083891835,-4.373242508820079,0.9843565088757397,0.9846371538306045,57,1024
entropy_plus_top1,one_minus_top1+entropy,one_minus_top1,8.647943335329618,-4.489082118994424,0.984060650887574,0.982211441277542,57,1024
entropy_plus_top1,one_minus_top1+entropy,entropy,0.3696886120758166,-4.489082118994424,0.984060650887574,0.982211441277542,57,1024
baseline_plus_probe,one_minus_top1+entropy+probe_logit,one_minus_top1,8.511161114797087,-4.625266770351002,0.9842825443786982,0.9826157267030524,57,1024
baseline_plus_probe,one_minus_top1+entropy+probe_logit,entropy,0.36783124774133863,-4.625266770351002,0.9842825443786982,0.9826157267030524,57,1024
baseline_plus_probe,one_minus_top1+entropy+probe_logit,probe_logit,-0.2747827935836752,-4.625266770351002,0.9842825443786982,0.9826157267030524,57,1024
probe_alone,probe_logit,probe_logit,-3.3800249321423532,-2.369602741111235,0.7597633136094674,0.6860723670911664,57,1024
